department,total
Aguata,188,784,494.97
Anambra East,129,036,433.00
Anambra West,140,816,184.71
Anaocha,166,865,669.32
Awka North,121,561,092.51
Awka South,141,866,276.45
Ayamelum,132,959,970.01
Dunukofia,119,821,724.07
Ekwusigo,131,895,241.08
Idemili North,207,793,124.42
Idemili South,140,523,778.39
Ihiala,175,662,655.78
Njikoka,132,262,836.07
Nnewi North,131,655,918.46
Nnewi South,154,496,731.90
Ogbaru,148,087,558.42
Onitsha North,126,226,543.89
Onitsha South,131,032,191.30
Orumba North,139,986,986.35
Orumba South,140,234,965.59
Oyi,132,469,109.18
Ahoada East,160,912,773.30
Ahoada West,192,902,528.63
Akuku-toru,173,615,168.14
Andoni,186,317,092.11
Asari-toru,176,795,296.99
Bonny,178,310,292.64
Degema,194,676,180.49
Eleme,178,764,663.40
Emuoha,176,480,138.96
Etche,199,818,803.11
Gonaka,186,962,498.50
Ikwerre,173,731,891.50
Khana,213,311,725.22
Obia/akpor,253,062,789.50
Abua/odual,205,486,635.03
Ogba/egbema/ndoni,211,114,780.47
Ogu/bolo,136,729,883.87
Okrika,187,274,476.05
Omumma,145,913,754.79
Opobo/nkoro,157,409,870.11
Oyigbo,148,228,213.95
Port Harcourt,281,931,529.84
Tai,160,104,262.55
Abakaliki,166,190,631.89
Afikpo North,160,187,527.19
Afikpo South,162,164,874.33
Ebonyi,160,801,661.61
Ezza North,158,805,331.56
Ezza South,158,841,946.35
Ikwo,186,769,153.18
Ishielu,163,635,215.94
Ivo,152,050,674.12
Izzi,199,709,487.09
Ohaozara,163,137,954.56
Ohaukwu,183,072,837.34
Onicha,187,569,251.01
Abi,163,686,379.38
Akamkpa,200,224,092.47
Akpabuyo,198,065,232.90
Bakassi,126,155,924.05
Bekwara,144,053,219.91
Biase,175,486,095.65
Boki,203,326,318.05
Calabar Municipal,164,423,649.78
Calabar South,169,456,964.27
Etung,138,042,370.80
Ikom,178,302,492.46
Obanliku,157,172,373.84
Obubra,177,095,705.76
Obudu,169,327,899.72
Odukpani,180,655,212.98
Ogoja,171,500,134.06
Yakurr,179,454,608.04
Yala,189,163,053.75
Brass,183,414,752.41
Ekeremor,214,591,896.32
Kolokuma/opkuma,137,467,351.60
Nembe,163,825,914.86
Ogbia,183,976,715.89
Sagbama,185,058,750.56
Southern Ijaw,259,672,873.54
Yenagoa,230,076,953.13
Aniocha North,142,475,844.24
Aniocha South,155,135,593.52
Bomadi,133,332,958.77
Burutu,188,888,523.58
Ethiope East,171,947,689.96
Ethiope West,175,696,260.94
Ika North East,171,412,356.89
Ika South,163,703,750.75
Isoko North,164,701,001.90
Isoko South,185,445,309.85
Ndokwa East,155,054,458.44
Ndokwa West,157,987,549.83
Okpe,149,845,258.89
Oshimili North,148,547,276.54
Oshimili South,154,327,729.41
Patani,131,160,085.24
Sapele,163,527,265.09
Udu,154,624,069.05
Ughelli North,218,853,311.94
Ughelli South,178,336,264.36
Ukwuani,143,191,371.29
Uvwie,165,840,752.05
Warri South,208,451,271.38
Warri North,170,809,570.42
Warri South West,156,393,832.01
Aboh Mbaise,181,098,305.17
Ahiazu Mbaise,164,802,581.96
Ehime Mbano,153,345,945.12
Ezinihitte,163,310,878.99
Ideato North,167,219,186.39
Ideato South,162,506,650.01
Ihitte Uboma,149,835,002.80
Ikeduru,161,812,372.81
Isiala Mbano,180,560,232.73
Isu,162,175,178.56
Mbaitoli,191,004,558.29
Ngor/okpala,167,967,572.08
Mjaba,156,665,837.52
Nkwangele,150,908,093.71
Nkwerre,132,341,285.85
Obowo,147,042,120.76
Oguta,165,274,650.05
Ohaji/egbema,174,257,821.58
Okigwe,157,173,679.21
Unuimo,142,717,756.23
Orlu,154,208,852.98
Orsu,148,911,797.56
Oru East,152,481,350.89
Oru West,151,984,544.39
Owerri Municipal,151,185,884.80
Owerri North,165,377,437.33
Owerri West,155,034,856.44
Abak,172,053,289.78
Eastern Obolo,136,676,267.17
Eket,180,556,329.07
Nsit Atai,143,023,426.25
Essien Udim,183,906,790.80
Etim Ekpo,156,650,146.62
Etinan,178,581,700.04
Ibeno,140,968,647.30
Ibesikpo Asutan,170,169,181.38
Ibiono Ibom,184,455,647.60
Ika,142,040,610.04
Ikono,172,103,268.81
Ikot Abasi,169,297,043.37
Ikot Ekpene,170,027,584.51
Ini,151,461,732.79
Itu,162,292,728.77
Mbo,155,076,270.48
Mkpat Enin,181,396,585.61
Nsit Ibom,155,532,104.86
Nsit Ubium,163,176,655.12
Obot Akara,171,996,644.66
Okobo,154,146,501.66
Onna,157,720,201.96
Oron,147,016,481.68
Oruk Anam,187,001,737.89
Udung Uko,137,340,637.72
Ukanafun,167,352,656.32
Esit Eket,138,032,424.22
Uruan,165,259,823.92
Urue Offong/oruk,137,081,268.20
Uyo,223,264,493.28
Akoko Edo,210,457,524.67
Egor,207,877,921.09
Esan Central,140,556,019.48
Esan North East,146,369,062.49
Esan South East,169,763,446.15
Esan West,149,114,095.27
Etsako Central,142,744,810.20
Etsako East,162,122,572.94
Etsako West,182,294,808.98
Iguegben,133,013,010.48
Ikpoba Okha,227,310,574.77
Oredo,230,499,447.98
Orhionmwon,184,240,713.23
Ovia North East,174,231,394.82
Ovia South West,185,369,260.27
Owan East,169,048,199.50
Owan West,142,648,867.06
Uhunmwonde,161,314,096.40
Agwu,171,901,711.53
Aninri,157,557,529.48
Enugu East,205,715,868.86
Enugu North,187,247,802.18
Enugu South,175,329,656.38
Ezeagu,169,022,198.39
Igbo Etiti,183,127,101.37
Igbo Eze North,201,317,162.12
Igbo Eze South,155,521,917.00
Isi Uzo,168,202,564.93
Nkanu East,161,840,759.53
Nkanu West,156,147,353.68
Nsukka,214,839,019.28
Oji River,156,327,086.85
Udenu,172,848,112.64
Udi,189,824,640.45
Uzo Uwani,155,343,814.24
